"","year_of_analyst_forecast","month_of_analyst_forecast","permno","cusip","oftic","monthly_returns","price","shares_outstanding","volume","benchmark_returns","excess_returns","actual_annual_eps","number_of_analyst_predictions","forecast_end_period","analys","f_eps","forecast_standard_deviation","market_capitalization","exchange","t","t_minus_one","t_plus_one","average_forecasted_earnings","scaled_feps","quartile_feps","quartile_market_capitalization"
"8776",2010,11,89409,"75876610","RGC",0,13.5,130572,254144,-0.002290283,0.002290283,0.33,4,2011-12-31,1591,0.65,0.148076958755526,1762722,1,NA,NA,"true",0.6625,0.0109686636115204,3,1
"8777",2010,12,89409,"75876610","RGC",-0.0133333513513207,11.7399997711182,130572,530224,0.06530007,-0.0786334213513207,0.33,9,2011-12-31,71755,0.82,0.159025155242811,1532915.25011445,1,NA,NA,"true",0.699333333333333,0.0135455841859581,3,1
"8778",2011,6,89409,"75876610","RGC",-0.0730627179145813,12.3500003814697,130859,543434,-0.01825751,-0.0548052079145813,0.93,3,2012-12-31,9878,0.65,0.162603812993423,1616108.69991874,1,NA,NA,"true",0.756666666666667,0.0131663002405569,3,1
"8779",2011,7,89409,"75876610","RGC",0.0356274954974651,12.789999961853,130859,619536,-0.02147444,0.0571019354974651,0.93,24,2012-12-31,82010,0.63,0.143106921026073,1673686.60500812,1,NA,NA,"true",0.630916666666667,0.0111889696210241,3,1
"8780",2011,8,89409,"75876610","RGC",0.0218920819461346,13.0699996948242,130859,562737,-0.0567911,0.0786831819461346,0.93,4,2012-12-31,1591,0.7,0.108294864964955,1710327.090065,1,NA,NA,"true",0.68,0.00828575879828369,3,1
"8781",2011,9,89409,"75876610","RGC",-0.0856924206018448,11.7399997711182,130859,420127,-0.07176201,-0.0139304106018448,0.93,5,2012-12-31,32416,0.66,0.148813992606893,1536284.63004876,1,NA,NA,"true",0.696,0.0126758088167083,3,1
"8782",2011,10,89409,"75876610","RGC",0.229982957243919,14.4399995803833,130859,403981,0.107723,0.122259957243919,0.93,21,2012-12-31,41131,0.59,0.131248188393295,1889603.90508938,1,NA,NA,"true",0.657380952380952,0.00908920998665366,3,1
"8783",2011,11,89409,"75876610","RGC",-0.0131578659638762,14.25,130878,313392,-0.005058645,-0.0080992209638762,0.93,4,2012-12-31,1591,0.8,0.160356745147455,1865011.5,1,NA,NA,"true",0.745,0.0112531049226284,3,1
"8784",2011,12,89409,"75876610","RGC",-0.14736844599247,11.9399995803833,130878,375283,0.008532751,-0.15590119699247,0.93,9,2012-12-31,108897,0.61,0.156282908915363,1562683.26508141,1,NA,NA,"true",0.595444444444444,0.0130890213071805,3,1
"8785",2016,6,76614,"75886F10","REGN",-0.124583214521408,349.230010986328,103371,205691,0.0009060735,-0.125489288021408,16.32,4,2017-12-31,184250,15.04,0.971785298647117,36100255.4656677,3,NA,NA,"true",15.445,0.00278265116993385,1,4
"8786",2016,7,76614,"75886F10","REGN",0.217306599020958,425.119995117188,103383,153018,0.03560981,0.181696789020958,16.32,12,2017-12-31,79991,17.7,1.4782846606384,43950180.4552002,3,NA,NA,"true",15.3659166666667,0.00347733505273234,1,4
"8787",2016,8,76614,"75886F10","REGN",-0.0766136795282364,392.549987792969,103383,171639,-0.001219176,-0.0753945035282364,16.32,25,2017-12-31,171887,15.76,3.47254197382839,40582995.3880005,3,NA,NA,"true",14.52152,0.00884611407925916,1,4
"8788",2016,9,76614,"75886F10","REGN",0.0241243187338114,402.019989013672,103550,165003,-0.001234483,0.0253588017338114,16.32,5,2017-12-31,105436,13.42,2.07646815530602,41629169.8623657,3,NA,NA,"true",15.988,0.00516508684157843,1,4
"8789",2016,10,76614,"75886F10","REGN",-0.141783997416496,345.019989013672,103559,127306,-0.01942562,-0.122358377416496,16.32,13,2017-12-31,137206,12.63,2.20671469465125,35729925.0422669,3,NA,NA,"true",14.8930769230769,0.00639590390388599,1,4
"8790",2016,11,76614,"75886F10","REGN",0.099182665348053,379.239990234375,103559,246831,0.03417445,0.065008215348053,16.32,24,2017-12-31,185114,14.9,2.36433142455641,39273714.1486816,3,NA,NA,"true",13.8417083333333,0.00623439374918036,1,4
"8791",2016,12,76614,"75886F10","REGN",-0.0320377461612225,367.089996337891,104097,177732,0.01820075,-0.0502384961612225,16.32,7,2017-12-31,643130,13.54,0.833255034416806,38212967.3487854,3,NA,NA,"true",13.7684285714286,0.00226989305818574,1,4
"8792",2003,6,77555,"75959430","REM",-0.0422095544636249,18.3799991607666,26460,38052,0.01132224,-0.0535317944636249,2.14,7,2004-12-31,79582,1.15,0.405544900925491,486334.777793884,1,NA,NA,"true",1.46,0.0220644678695718,3,1
"8793",2003,7,77555,"75959430","REM",0.00761704565957189,18.5200004577637,26460,38071,0.0162237,-0.00860665434042811,2.14,3,2004-12-31,636846,1.03,0.195021366350801,490039.212112428,1,NA,NA,"true",1.22666666666667,0.0105303110977541,3,1
