"","month_of_analyst_forecast","monthly_returns","excess_returns","February","March","April","May","June","July","August","September","October","November","December","quartile_market_capitalization","quartile_feps","quartile_analyst_following"
"140","3",0.11731843650341,0.02731843650341,0,1,0,0,0,0,0,0,0,0,0,1,1,2
"141","4",0.119999997317791,0.109999997317791,0,0,1,0,0,0,0,0,0,0,0,1,1,2
"142","5",-0.111607141792774,-0.141607141792774,0,0,0,1,0,0,0,0,0,0,0,1,1,2
"143","6",-0.0954773873090744,-0.115477387309074,0,0,0,0,1,0,0,0,0,0,0,1,1,2
"144","7",0.244444444775581,0.154444444775581,0,0,0,0,0,1,0,0,0,0,0,1,1,2
"145","8",0.00446428591385484,0.0144642859138548,0,0,0,0,0,0,1,0,0,0,0,1,1,2
"146","9",-0.0488888882100582,-0.0588888882100582,0,0,0,0,0,0,0,1,0,0,0,1,1,2
"147","10",-0.415887862443924,-0.195887862443924,0,0,0,0,0,0,0,0,1,0,0,1,1,2
"148","11",0.391999989748001,0.401999989748001,0,0,0,0,0,0,0,0,0,1,0,1,1,2
"149","12",-0.191954016685486,-0.221954016685486,0,0,0,0,0,0,0,0,0,0,1,1,1,2
"150","1",0.164179101586342,0.154179101586342,0,0,0,0,0,0,0,0,0,0,0,1,3,2
"151","3",-0.106493502855301,-0.116493502855301,0,1,0,0,0,0,0,0,0,0,0,1,3,2
"152","4",-0.279411762952805,-0.249411762952805,0,0,1,0,0,0,0,0,0,0,0,1,3,2
"153","5",0.142857149243355,0.112857149243355,0,0,0,1,0,0,0,0,0,0,0,1,3,2
"154","6",-0.0178571436554193,-0.0278571436554193,0,0,0,0,1,0,0,0,0,0,0,1,3,2
"155","7",0.0545454546809196,0.0245454546809196,0,0,0,0,0,1,0,0,0,0,0,1,3,2
"156","8",-0.0689655169844627,-0.0189655169844627,0,0,0,0,0,0,1,0,0,0,0,1,3,2
"157","9",-0.0555555559694767,-0.0155555559694767,0,0,0,0,0,0,0,1,0,0,0,1,3,2
"158","10",-0.235294118523598,-0.225294118523598,0,0,0,0,0,0,0,0,1,0,0,1,3,2
"159","11",0.102564103901386,0.042564103901386,0,0,0,0,0,0,0,0,0,1,0,1,3,2
"160","12",0.139534890651703,0.119534890651703,0,0,0,0,0,0,0,0,0,0,1,1,3,2
"161","2",0.0906785205006599,0.10067852050066,1,0,0,0,0,0,0,0,0,0,0,2,1,1
"162","3",-0.0132268015295267,-0.0132268015295267,0,1,0,0,0,0,0,0,0,0,0,2,1,1
"163","4",-0.0776842162013054,-0.127684216201305,0,0,1,0,0,0,0,0,0,0,0,2,1,1
"164","5",0.131945580244064,0.101945580244064,0,0,0,1,0,0,0,0,0,0,0,2,1,1
"165","6",0.0520582869648933,0.162058286964893,0,0,0,0,1,0,0,0,0,0,0,2,1,1
"166","7",-0.2651606798172,-0.2651606798172,0,0,0,0,0,1,0,0,0,0,0,2,1,1
"167","8",0.0473924987018108,0.0273924987018108,0,0,0,0,0,0,1,0,0,0,0,2,1,1
"168","9",-0.0379105843603611,0.0720894156396389,0,0,0,0,0,0,0,1,0,0,0,2,1,1
"169","10",-0.497911751270294,-0.257911751270294,0,0,0,0,0,0,0,0,1,0,0,2,1,1
"170","11",0.362025320529938,0.512025320529938,0,0,0,0,0,0,0,0,0,1,0,2,1,1
"171","12",0.362984657287598,0.262984657287598,0,0,0,0,0,0,0,0,0,0,1,2,1,1
"172","2",-0.0599547550082207,0.0500452449917793,1,0,0,0,0,0,0,0,0,0,0,2,1,1
"173","3",0.145206525921822,0.025206525921822,0,1,0,0,0,0,0,0,0,0,0,2,1,1
"174","4",-0.225052669644356,-0.415052669644356,0,0,1,0,0,0,0,0,0,0,0,2,1,1
"175","5",0.402403086423874,0.332403086423874,0,0,0,1,0,0,0,0,0,0,0,2,1,1
"176","6",-0.151632741093636,-0.171632741093636,0,0,0,0,1,0,0,0,0,0,0,2,1,1
"177","7",0.115663103759289,0.015663103759289,0,0,0,0,0,1,0,0,0,0,0,2,1,1
"178","8",-0.0196412932127714,-0.0496412932127714,0,0,0,0,0,0,1,0,0,0,0,2,1,1
"179","9",0.182055696845055,0.112055696845055,0,0,0,0,0,0,0,1,0,0,0,2,1,1
"180","10",-0.211053788661957,-0.171053788661957,0,0,0,0,0,0,0,0,1,0,0,2,1,1
"181","11",0.170558586716652,0.120558586716652,0,0,0,0,0,0,0,0,0,1,0,2,1,1
"182","12",-0.13820618391037,-0.19820618391037,0,0,0,0,0,0,0,0,0,0,1,2,1,1
"183","1",0.157894730567932,0.027894730567932,0,0,0,0,0,0,0,0,0,0,0,2,4,2
"184","2",0.00909090880304575,-0.0809090911969542,1,0,0,0,0,0,0,0,0,0,0,2,4,2
"185","3",0.139639645814896,0.109639645814896,0,1,0,0,0,0,0,0,0,0,0,2,4,2
"186","4",0.0750988125801086,0.0950988125801086,0,0,1,0,0,0,0,0,0,0,0,2,4,2
"187","5",0.0845588222146034,0.0745588222146034,0,0,0,1,0,0,0,0,0,0,0,2,4,2
"188","6",0.0447457619011402,0.0147457619011402,0,0,0,0,1,0,0,0,0,0,0,2,4,2
"189","7",0.0586319230496883,0.0186319230496883,0,0,0,0,0,1,0,0,0,0,0,2,4,2
"190","8",-0.0676923096179962,-0.0976923096179962,0,0,0,0,0,0,1,0,0,0,0,2,4,2
"191","9",-0.0653465315699577,-0.0553465315699577,0,0,0,0,0,0,0,1,0,0,0,2,4,2
"192","10",-0.248226955533028,0.031773044466972,0,0,0,0,0,0,0,0,1,0,0,2,4,2
"193","11",-0.146226420998573,-0.076226420998573,0,0,0,0,0,0,0,0,0,1,0,2,4,2
"194","12",0.10607735067606,0.02607735067606,0,0,0,0,0,0,0,0,0,0,1,2,4,2
"195","1",-0.0307692307978868,0.0392307692021132,0,0,0,0,0,0,0,0,0,0,0,2,4,2
"196","2",0.0634920671582222,0.0434920671582222,1,0,0,0,0,0,0,0,0,0,0,2,4,2
"197","3",-0.0542288571596146,-0.0842288571596146,0,1,0,0,0,0,0,0,0,0,0,2,4,2
"198","4",-0.0290237460285425,0.0209762539714575,0,0,1,0,0,0,0,0,0,0,0,2,4,2
"199","5",0.00543478270992637,-0.0545652172900736,0,0,0,1,0,0,0,0,0,0,0,2,4,2
"200","6",-0.0427027009427548,-0.0427027009427548,0,0,0,0,1,0,0,0,0,0,0,2,4,2
"201","7",0.11331444978714,0.14331444978714,0,0,0,0,0,1,0,0,0,0,0,2,4,2
"202","8",0.0687022879719734,0.188702287971973,0,0,0,0,0,0,1,0,0,0,0,2,4,2
"203","9",-0.025714285671711,0.064285714328289,0,0,0,0,0,0,0,1,0,0,0,2,4,2
"204","10",-0.0416666679084301,-0.0116666679084301,0,0,0,0,0,0,0,0,1,0,0,2,4,2
"205","11",0.0255754478275776,-0.0644245521724224,0,0,0,0,0,0,0,0,0,1,0,2,4,2
"206","12",-0.0718204453587532,-0.101820445358753,0,0,0,0,0,0,0,0,0,0,1,2,4,2
"207","1",-0.0627753287553787,-0.0827753287553787,0,0,0,0,0,0,0,0,0,0,0,2,4,4
"208","2",-0.0493537001311779,-0.0593537001311779,1,0,0,0,0,0,0,0,0,0,0,2,4,4
"209","3",0.281087756156921,0.231087756156921,0,1,0,0,0,0,0,0,0,0,0,2,4,4
"210","4",-0.0154738882556558,-0.0154738882556558,0,0,1,0,0,0,0,0,0,0,0,2,4,4
"211","5",0.0471512787044048,0.0471512787044048,0,0,0,1,0,0,0,0,0,0,0,2,4,4
"212","6",-0.0709193274378777,-0.100919327437878,0,0,0,0,1,0,0,0,0,0,0,2,4,4
"213","7",-0.020242914557457,-0.050242914557457,0,0,0,0,0,1,0,0,0,0,0,2,4,4
"214","8",0.131198346614838,0.101198346614838,0,0,0,0,0,0,1,0,0,0,0,2,4,4
"215","9",-0.0197260268032551,-0.0297260268032551,0,0,0,0,0,0,0,1,0,0,0,2,4,4
"216","10",-0.0737628415226936,-0.0537628415226936,0,0,0,0,0,0,0,0,1,0,0,2,4,4
"217","11",-0.0120967738330364,-0.0120967738330364,0,0,0,0,0,0,0,0,0,1,0,2,4,4
"218","12",0.195306122303009,0.135306122303009,0,0,0,0,0,0,0,0,0,0,1,2,4,4
"219","1",-0.0501282922923565,-0.130128292292357,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"220","2",0.0374639555811882,0.0374639555811882,1,0,0,0,0,0,0,0,0,0,0,2,2,1
"221","3",0.0891667082905769,0.109166708290577,0,1,0,0,0,0,0,0,0,0,0,2,2,1
"222","4",0.120071642100811,0.060071642100811,0,0,1,0,0,0,0,0,0,0,0,2,2,1
"223","5",-0.0212571490556002,-0.0612571490556002,0,0,0,1,0,0,0,0,0,0,0,2,2,1
"224","6",-0.0530125685036182,-0.0530125685036182,0,0,0,0,1,0,0,0,0,0,0,2,2,1
"225","7",-0.0435644090175629,-0.0335644090175629,0,0,0,0,0,1,0,0,0,0,0,2,2,1
"226","8",0.00556418625637889,0.00556418625637889,0,0,0,0,0,0,1,0,0,0,0,2,2,1
"227","9",-0.178998827934265,-0.078998827934265,0,0,0,0,0,0,0,1,0,0,0,2,2,1
"228","10",-0.0748031511902809,-0.104803151190281,0,0,0,0,0,0,0,0,1,0,0,2,2,1
"229","11",-0.0110638560727239,-0.0710638560727239,0,0,0,0,0,0,0,0,0,1,0,2,2,1
"230","12",0.0808950364589691,0.0308950364589691,0,0,0,0,0,0,0,0,0,0,1,2,2,1
"231","1",-0.101427756249905,-0.051427756249905,0,0,0,0,0,0,0,0,0,0,0,4,2,3
"232","2",0.0281364135444164,0.0381364135444164,1,0,0,0,0,0,0,0,0,0,0,4,2,3
"233","3",-0.0525863915681839,-0.0325863915681839,0,1,0,0,0,0,0,0,0,0,0,4,2,3
"234","4",0.2043546885252,0.1543546885252,0,0,1,0,0,0,0,0,0,0,0,4,2,3
"235","5",0.1564030200243,0.1064030200243,0,0,0,1,0,0,0,0,0,0,0,4,2,3
"236","6",0.0283364951610565,0.118336495161057,0,0,0,0,1,0,0,0,0,0,0,4,2,3
"237","7",-0.196449801325798,-0.176449801325798,0,0,0,0,0,1,0,0,0,0,0,4,2,3
"238","8",0.0326429717242718,0.0226429717242718,0,0,0,0,0,0,1,0,0,0,0,4,2,3
"239","9",-0.215165674686432,-0.095165674686432,0,0,0,0,0,0,0,1,0,0,0,4,2,3
"240","10",-0.266447395086289,-0.066447395086289,0,0,0,0,0,0,0,0,1,0,0,4,2,3
"241","11",-0.102474644780159,0.017525355219841,0,0,0,0,0,0,0,0,0,1,0,4,2,3
"242","12",-0.00555147137492895,-0.115551471374929,0,0,0,0,0,0,0,0,0,0,1,4,2,3
"243","1",0.0367263481020927,0.106726348102093,0,0,0,0,0,0,0,0,0,0,0,3,4,3
"244","2",-0.016543822363019,0.143456177636981,1,0,0,0,0,0,0,0,0,0,0,3,4,3
"245","3",-0.00713106384500861,-0.167131063845009,0,1,0,0,0,0,0,0,0,0,0,3,4,3
"246","4",0.0108856111764908,-0.319114388823509,0,0,1,0,0,0,0,0,0,0,0,3,4,3
"247","5",0.215367674827576,0.065367674827576,0,0,0,1,0,0,0,0,0,0,0,3,4,3
"248","6",-0.191319972276688,-0.171319972276688,0,0,0,0,1,0,0,0,0,0,0,3,4,3
"249","7",0.0269767586141825,-0.113023241385818,0,0,0,0,0,1,0,0,0,0,0,3,4,3
"250","8",-0.083514504134655,-0.173514504134655,0,0,0,0,0,0,1,0,0,0,0,3,4,3
"251","9",0.0587072335183621,-0.0512927664816379,0,0,0,0,0,0,0,1,0,0,0,3,4,3
"252","10",0.0239431839436293,0.0939431839436293,0,0,0,0,0,0,0,0,1,0,0,3,4,3
"253","11",0.0588234812021255,0.0188234812021255,0,0,0,0,0,0,0,0,0,1,0,3,4,3
"254","12",0.0455486699938774,-0.0244513300061226,0,0,0,0,0,0,0,0,0,0,1,3,4,3
"255","1",0.0731707289814949,-0.0768292710185051,0,0,0,0,0,0,0,0,0,0,0,3,1,2
"256","2",0.0646666660904884,-0.0253333339095116,1,0,0,0,0,0,0,0,0,0,0,3,1,2
"257","3",-0.00287356320768595,-0.0128735632076859,0,1,0,0,0,0,0,0,0,0,0,3,1,2
"258","4",-0.031700287014246,0.008299712985754,0,0,1,0,0,0,0,0,0,0,0,3,1,2
"259","5",-0.00642857188358903,-0.00642857188358903,0,0,0,1,0,0,0,0,0,0,0,3,1,2
"260","6",0.030257185921073,-0.009742814078927,0,0,0,0,1,0,0,0,0,0,0,3,1,2
"261","7",0.058737151324749,0.018737151324749,0,0,0,0,0,1,0,0,0,0,0,3,1,2
"262","8",0.0494868233799934,0.0194868233799934,0,0,0,0,0,0,1,0,0,0,0,3,1,2
"263","9",-0.0866666659712791,-0.0766666659712791,0,0,0,0,0,0,0,1,0,0,0,3,1,2
"264","10",-0.170802921056747,0.109197078943253,0,0,0,0,0,0,0,0,1,0,0,3,1,2
"265","11",-0.0586619712412357,0.0213380287587643,0,0,0,0,0,0,0,0,0,1,0,3,1,2
"266","12",0.102272726595402,-0.007727273404598,0,0,0,0,0,0,0,0,0,0,1,3,1,2
"267","1",0.141592919826508,0.041592919826508,0,0,0,0,0,0,0,0,0,0,0,2,3,3
"268","2",0.126356586813927,0.076356586813927,1,0,0,0,0,0,0,0,0,0,0,2,3,3
